名前,枠ライバーカラー,ライバー文字色,淡いライバーカラー,濃いライバーカラー,グラデライバーカラー,超濃いライバーカラー,グラデ文字色,はてなサブカラー,プルダウンサブカラー,線サブカラー,サブ文字色,VtL,甲斐田,卒業,読み,完全読み,ユニット読み,メモ,
北見遊征,#FF6E1E,#FFFFFF,#FF6E1E,#FF6E1E,#942522,#942522,#FFFFFF,#BEBED2,#BEBED2,#3a4c7b,#FFFFFF,「行こう！」,TRUE,FALSE,北見遊征 北見 遊征 きたみ ゆうせい kitami yusei yuusei,呪術師,3SKM すりーえすけーえむ さんすくみ すくみ,,
魁星,#0C6F72,#FFFFFF,#0C6F72,#0C6F72,#30805a,#30805a,#FFFFFF,#e94638,#fd6c62,#e94638,#FFFFFF,「行こう！」,FALSE,FALSE,魁星 かいせい kaisei,鍵屋,3SKM すりーえすけーえむ さんすくみ すくみ,,
榊ネス,#C2AAE6,#FFFFFF,#C2AAE6,#b38cf9,#5e5f95,#5e5f95,#FFFFFF,#0999bd,#0999bd,#5190bf,#FFFFFF,「行こう！」,TRUE,FALSE,榊ネス 榊 ネス さかき ねす sakaki ness nesu,執事,3SKM すりーえすけーえむ さんすくみ すくみ,,
司賀りこ,#FFE36C,#bf8250,#FFE36C,#f0ae30,#d47712,#b38cf9,#FFFFFF,#839DDE,#839DDE,#839DDE,#FFFFFF,「行こう！」,FALSE,FALSE,司賀りこ 司賀 りこ しが shiga riko,露嵜つゆ,あやかき いずれ菖蒲か杜若 いずれあやめかかきつばた,,
珠乃井ナナ,#63AED9,#FFFFFF,#63AED9,#63AED9,#507aaf,#507aaf,#FFFFFF,#FFC547,#9dc5a1,#FFC547,#FFFFFF,「行こう！」,FALSE,FALSE,珠乃井ナナ 珠乃井 ナナ たまのい なな tamanoi nana ななたま,パフォーマー,あやかき いずれ菖蒲か杜若 いずれあやめかかきつばた,,
綺沙良,#846FC7,#FFFFFF,#846FC7,#9394B2,#6b438e,#6b438e,#FFFFFF,#4d5d77,#9394B2,#4d5d77,#FFFFFF,「行こう！」,FALSE,FALSE,綺沙良 きさら kisara きぃさま きいさま,苗代千和,あやかき いずれ菖蒲か杜若 いずれあやめかかきつばた,,
梢桃音,#FFC6E2,#FFFFFF,#FFC6E2,#fe98b9,#e1467e,#e1467e,#FFFFFF,#DECDFC,#DECDFC,#DECDFC,#FFFFFF,「行こう！」,FALSE,FALSE,梢桃音 梢 桃音 こずえ もね kozue mone もねち ぽやたぬ,ぽやぽやのたぬき 麗しお姉さん 喜納ことは,あやかき いずれ菖蒲か杜若 いずれあやめかかきつばた,,
ルンルン,#5daafc,#5daafc,#D8E9FC,#cad3fa,#939bf4,#939bf4,#FFFFFF,#d2b8fa,#F6F9FF,#d2b8fa,#FFFFFF,「行こう！」,FALSE,FALSE,ルンルン るんるん lunlun runrun ちょま  るんちょま けもーの ケモーノ,,あやかき いずれ菖蒲か杜若 いずれあやめかかきつばた,,
七瀬すず菜,#9DD9B9,#FFFFFF,#9DD9B9,#5fd898,#B9E089,#6d9a49,#FFFFFF,#EA6969,#EA6969,#EA6969,#FFFFFF,「行こう！」,FALSE,FALSE,七瀬すず菜 七瀬 すず菜 ななせ すずな nanase suzuna すーぴ,青桐美星乃,Speciale すぺしゃーれ,,#8f5fc3
早乙女ベリー,#DF6D7C,#FFFFFF,#DF6D7C,#DF6D7C,#a13540,#a13540,#FFFFFF,#BE9BCD,#BE9BCD,#BE9BCD,#FFFFFF,「行こう！」,FALSE,FALSE,早乙女ベリー 早乙女 ベリー さおとめ べりー saotome berry,,Speciale すぺしゃーれ,,
雲母たまこ,#FFD264,#FFFFFF,#FFD264,#FFD264,#Feae84,#E9674D,#FFFFFF,#Feae84,#E9674D,#E9674D,#FFFFFF,「行こう！」,FALSE,FALSE,雲母たまこ 雲母 たまこ きらら kirara tamako きらたま きらにぱ,,Speciale すぺしゃーれ,,
酒寄颯馬,#BA6EA5,#FFFFFF,#BA6EA5,#BA6EA5,#6c374d,#6c374d,#FFFFFF,#E4DDD2,#E4DDD2,#b2a39c,#FFFFFF,「行こう！」,TRUE,FALSE,酒寄颯馬 酒寄 颯馬 さかより そうま sakayori soma souma,,Speciale すぺしゃーれ,,
渚トラウト,#77B6C2,#FFFFFF,#77B6C2,#77B6C2,#4e657d,#6e7af9,#FFFFFF,#FAA370,#FAA370,#FAA370,#FFFFFF,「行こう！」,TRUE,FALSE,渚トラウト 渚 トラウト なぎさ とらうと nagisa trout ,,紫男 むらさきだん Speciale すぺしゃーれ,,
一橋綾人,#9FCEC9,#FFFFFF,#9FCEC9,#56CEC0,#2AA899,#2AA899,#FFFFFF,#6f6f6f,#EFEFEF,#6f6f6f,#FFFFFF,「行こう！」,FALSE,FALSE,一橋綾人 一橋 綾人 ひとつばし あやと hitotsubashi ayato あやてぃーアヤティー ばしあや,エリート 精神科医,えりぶり,,
五木左京,#F3A4A9,#FFFFFF,#F3A4A9,#F3A4A9,#ed6178,#ed6178,#FFFFFF,#6a726b,#A7A5AD,#6eb9e5,#FFFFFF,「行こう！」,FALSE,FALSE,五木左京 五木 左京 いつき さきょう itsuki sakyo,エリート,えりぶり,,
十河ののは,#7DC7B0,#FFFFFF,#7DC7B0,#7DC7B0,#3f8287,#3f8287,#FFFFFF,#E1CC57,#E1CC57,#b69a56,#FFFFFF,「行こう！」,FALSE,FALSE,十河ののは 十河 ののは とがわ togawa nonoha,サラマンダー 乃々葉,よいゆめ 今宵、××と夢を見る。 こよい、すぴねるとゆめをみる。,,
夜牛詩乃,#BD81D4,#FFFFFF,#BD81D4,#BD81D4,#75709f,#75709f,#FFFFFF,#F0BBC6,#F0BBC6,#F19ee9,#FFFFFF,「行こう！」,FALSE,FALSE,夜牛詩乃 夜牛 詩乃 やぎゅう しの yagyu shino,牛鬼,よいゆめ 今宵、××と夢を見る。 こよい、すぴねるとゆめをみる。,,
蝸堂みかる,#FFE673,#ff9f23,#FFE673,#f4ab22,#ff7b00,#ff7b00,#FFFFFF,#9ADBEB,#9ADBEB,#83c9f3,#FFFFFF,「行こう！」,FALSE,FALSE,蝸堂みかる 蝸堂 みかる かどう kado kadou mikaru,カタツムリ,よいゆめ 今宵、××と夢を見る。 こよい、すぴねるとゆめをみる。,,
猫屋敷美紅,#FF8C73,#FFFFFF,#FF8C73,#FF8C73,#F7bd37,#F7bd37,#FFFFFF,#9992E8,#9992E8,#8284f5,#FFFFFF,「行こう！」,FALSE,FALSE,猫屋敷美紅 猫屋敷 美紅 ねこやしき みく nekoyashiki miku みくぽぽ みくやしき,猫又,よいゆめ 今宵、××と夢を見る。 こよい、すぴねるとゆめをみる。,,
皇れお,#EEB1CC,#FFFFFF,#EEB1CC,#E98aac,#cf618d,#cf618d,#FFFFFF,#9BF4E8,#9BF4E8,#93bad2,#FFFFFF,「行こう！」,FALSE,FALSE,皇れお すめらぎ れお sumeragi reo,,すぷれあ,,
篠宮ゆの,#AAD9F4,#FFFFFF,#AAD9F4,#AAD9F4,#819eb9,#819eb9,#FFFFFF,#F8F482,#F8F482,#bba567,#FFFFFF,「行こう！」,TRUE,FALSE,篠宮ゆの しのみや ゆの shinomiya yuno ゆのたそ,,すぷれあ,,
城瀬いすみ,#E5E2F6,#FFFFFF,#E5E2F6,#AA9BFF,#AEA1F4,#9584f4,#FFFFFF,#F7CFEA,#F7CFEA,#F7aad0,#FFFFFF,「行こう！」,FALSE,FALSE,城瀬いすみ しろせ いすみ いすみゃ みゃ shirose isumi,,すぷれあ,9E98BC,
花籠つばさ,#818FBF,#FFFFFF,#818FBF,#818FBF,#404669,#404669,#FFFFFF,#A3DADE,#A3DADE,#A3DADE,#FFFFFF,「行こう！」,FALSE,FALSE,花籠つばさ はなかご つばさ hanakago tsubasa ごつば,熊火刻人,すぷれあ,,
白砂あやね,#54A2E5,#FFFFFF,#54A2E5,#54A2E5,#4d748f,#4d748f,#FFFFFF,#A2E4C7,#A2E4C7,#A2E4C7,#FFFFFF,「行こう！」,FALSE,FALSE,白砂あやね しらさ あやね shirasa ayane しらす しらす丼 やーね,,うみゃみー,,
水面まどか,#FF8184,#FFFFFF,#FF8184,#FF8184,#a8375f,#a8375f,#FFFFFF,#FEBF96,#FEBF96,#ef9b9c,#FFFFFF,「行こう！」,FALSE,FALSE,水面まどか みなも まどか minamo madoka まどちゃ,,うみゃみー,,
男虎,#442657,#FFFFFF,#442657,#442657,#594c70,#594c70,#FFFFFF,#4b4b4b,#4b4b4b,#282828,#FFFFFF,「行こう！」,FALSE,FALSE,男虎 おのとら onotora,,Y4T4 やた,,
九里詠太,#CC8F7A,#FFFFFF,#CC8F7A,#CC8F7A,#996160,#b94e40,#FFFFFF,#93b7bb,#b94e40,#93b7bb,#FFFFFF,「行こう！」,FALSE,FALSE,九里詠太 九里 詠太 くり えいた kuri eita,骨付き肉,Y4T4 やた,,
小々波いるか,#4270B2,#FFFFFF,#4270B2,#4270B2,#2c3872,#2c3872,#FFFFFF,#8FBAE8,#8FBAE8,#8FBAE8,#FFFFFF,「行こう！」,FALSE,FALSE,小々波いるか 小々波 いるか ここなみ kokonami iruka,,Y4T4 やた,,
千凛あゆむ,#543298,#FFFFFF,#543298,#543298,#e98ae7,#4f4558,#FFFFFF,#e98ae7,#6e6e90,#4f4558,#FFFFFF,「行こう！」,FALSE,,千凛あゆむ 千凛 あゆむ せんり senri ayumu あゆゆ,,Y4T4 やた,,
塚原大地,#4A4A5C,#FFFFFF,#4A4A5C,#4A4A5C,#252525,#252525,#FFFFFF,#A44545,#A44545,#A44545,#FFFFFF,「行こう！」,FALSE,FALSE,塚原大地 塚原 大地 つかはら だいち tsukahara daichi,揚げ鶏,Y4T4 やた,,
御子神琴音,#D0669A,#FFFFFF,#D0669A,#D0669A,#cd96ad,#cd96ad,#FFFFFF,#8d5843,#8d5843,#8d5843,#FFFFFF,「行こう！」,FALSE,FALSE,御子神琴音 御子神 琴音 みこがみ ことね mikogami kotone,,Y4T4 やた,,
Rei7,#4BB3CE,#FFFFFF,#4BB3CE,#4BB3CE,#8ab8bf,#455265,#FFFFFF,#8ab8bf,#8ab8bf,#6a7888,#FFFFFF,「行こう！」,FALSE,FALSE,Rei7 れいな レイナ reina,,Y4T4 やた,,
レヨン,#558E8D,#FFFFFF,#558E8D,#558E8D,#275c56,#275c56,#FFFFFF,#c1b4a1,#c1b4a1,#d97e5c,#FFFFFF,「行こう！」,FALSE,FALSE,レヨン れよん rayon,お野菜,Y4T4 やた,,
Elira Pendora,#95C8D8,#FFFFFF,#95C8D8,#56aec9,#5b3a88,#5b3a88,#FFFFFF,#d33fc6,#d33fc6,#d33fc6,#FFFFFF,「行こう！」,FALSE,FALSE,elira pendora エリーラ ペンドラ えりーら ぺんどら ewiwa,,LazuLight ラズライト らずらいと,,
Pomu Rainpuff,#258E70,#FFFFFF,#258E70,#3fb696,#19b0c7,#19b0c7,#FFFFFF,#c6eeb4,#c6eeb4,#facda2,#FFFFFF,「行こう！」,FALSE,TRUE,Pomu Rainpuff ぽむ れいんぱふ ポム レインパフ,,LazuLight ラズライト らずらいと,,
Finana Ryugu,#35D9AD,#FFFFFF,#35D9AD,#35D9AD,#3fa2b0,#3fa2b0,#FFFFFF,#e9ace9,#e9ace9,#c588cc,#FFFFFF,「行こう！」,FALSE,FALSE,Finana Ryugu フィナーナ 竜宮 ふぃなーな りゅうぐう,マーメイド,LazuLight ラズライト らずらいと,,
Rosemi Lovelock,#DC3753,#FFFFFF,#DC3753,#DC3753,#ecb2c0,#6e0c20,#FFFFFF,#88c5a4,#ecb2c0,#88c5a4,#FFFFFF,「行こう！」,FALSE,TRUE,Rosemi Lovelock ロゼミ ラブロック ろぜみ らぶろっく,,OBSYDIA オブシディア おぶしでぃあ,,
Petra Gurin,#FFAE42,#FFFFFF,#FFAE42,#ff7b00,#ff7b00,#282828,#FFFFFF,#58545e,#Fac867,#847986,#FFFFFF,「行こう！」,FALSE,FALSE,Petra Gurin ペトラ グリン ぺとら ぐりん ぺちょら,ペンギン,OBSYDIA オブシディア おぶしでぃあ,,
Enna Alouette,#858ED1,#FFFFFF,#858ED1,#858ED1,#33e4f3,#5457c5,#FFFFFF,#33e4f3,#c98afa,#c98afa,#FFFFFF,「行こう！」,FALSE,FALSE,Enna Alouette エナー アールウェット えなー あーるうぇっと,,Ethyria えしりあ エシリア,,
Nina Kosaka,#660000,#FFFFFF,#660000,#660000,#660000,#da0000,#FFFFFF,#9aa1ba,#debb71,#debb71,#FFFFFF,「行こう！」,FALSE,TRUE,Nina Kosaka 狐坂 ニナ こさか にな,,Ethyria えしりあ エシリア,,
Reimu Endou,#B90B4A,#FFFFFF,#B90B4A,#B90B4A,#ce2f75,#565e6d,#FFFFFF,#3ebad7,#c9bdb5,#565e6d,#FFFFFF,「行こう！」,FALSE,TRUE,Reimu Endou 遠藤 霊夢 えんどう れいむ,,Ethyria えしりあ エシリア,,
Millie Parfait,#FEBC87,#FFFFFF,#FEBC87,#FEBC87,#F78b88,#F78b88,#FFFFFF,#44cfc0,#44cfc0,#44cfc0,#FFFFFF,「行こう！」,FALSE,FALSE,Millie Parfait ミリー パフェ みりー ぱふぇ,,Ethyria えしりあ エシリア,,
Ike Eveland,#348EC7,#FFFFFF,#348EC7,#348EC7,#94b7de,#2b4f9c,#FFFFFF,#88826d,#94b7de,#bda667,#FFFFFF,「行こう！」,FALSE,TRUE,Ike Eveland アイク イーヴランド あいく いーゔらんど,,Luxiem ルクシム るくしむ ラクシエム らくしえむ,,
Mysta Rias,#C3552B,#FFFFFF,#C3552B,#C3552B,#eb5537,#dd3502,#FFFFFF,#1fc5bf,#8b8482,#1fc5bf,#FFFFFF,「行こう！」,FALSE,TRUE,Mysta Rias ミスタ リアス みすた りあす,,Luxiem ルクシム るくしむ ラクシエム らくしえむ,,
Vox Akuma,#960018,#FFFFFF,#960018,#960018,#585b5a,#1d1d1d,#FFFFFF,#f90f10,#f90f10,#f90f10,#FFFFFF,「行こう！」,FALSE,FALSE,Vox Akuma ヴォックス アクマ ゔぉっくす あくま,,Luxiem ルクシム るくしむ ラクシエム らくしえむ,,
Luca Kaneshiro,#D4AF37,#FFFFFF,#D4AF37,#D4AF37,#6c5c3b,#6c5c3b,#FFFFFF,#0094a4,#0094a4,#373737,#FFFFFF,「行こう！」,FALSE,FALSE,Luca Kaneshiro ルカ カネシロ るか かねしろ,,Luxiem ルクシム るくしむ ラクシエム らくしえむ,,
Shu Yamino,#A660A7,#FFFFFF,#A660A7,#8215b5,#c60081,#c60081,#FFFFFF,#fdd117,#fdd117,#413542,#FFFFFF,「行こう！」,FALSE,FALSE,Shu Yamino シュウ 闇ノ やみの しゅう ヤミノ,,Luxiem ルクシム るくしむ ラクシエム らくしえむ,,
Alban Knox,#FF5F00,#FFFFFF,#FF5F00,#f77c3d,#a94d26,#a94d26,#FFFFFF,#585b5a,#fecd91,#585b5a,#FFFFFF,「行こう！」,FALSE,FALSE,Alban Knox アルバーン ノックス あるばーん のっくす,,Noctyx ノクティクス のくてぃくす,,
Yugo Asuma,#1F51FF,#FFFFFF,#1F51FF,#1F51FF,#86c7f8,#555dbc,#FFFFFF,#3d4265,#fc7ffb,#2b2d2c,#FFFFFF,「行こう！」,FALSE,TRUE,Yugo Asuma 遊間 ユーゴ あすま ゆーご,,Noctyx ノクティクス のくてぃくす,,
Fulgur Ovid,#FF0000,#FFFFFF,#FF0000,#8d0605,#c7c9d2,#1e211d,#FFFFFF,#494f61,#c7c9d2,#494f61,#FFFFFF,「行こう！」,FALSE,TRUE,Fulgur Ovid ファルガー オーヴィド ふぁるがー おーゔぃど ふーちゃん,,Noctyx ノクティクス のくてぃくす,,
Sonny Brisko,#FFF321,#3cb2a6,#FFF321,#D3b934,#D3b934,#53e5db,#FFFFFF,#53e5db,#53e5db,#8381cb,#FFFFFF,「行こう！」,FALSE,FALSE,Sonny Brisko サニー ブリスコ さにー ぶりすこ,,Noctyx ノクティクス のくてぃくす,,
Uki Violeta,#B600FF,#FFFFFF,#B600FF,#B600FF,#B5237a,#B5237a,#FFFFFF,#ed9f33,#ed9f33,#69291a,#FFFFFF,「行こう！」,FALSE,FALSE,Uki Violeta 浮奇 ヴィオレタ うき ゔぃおれた ウキ,,Noctyx ノクティクス のくてぃくす,,
Kyo Kaneko,#00AFCC,#FFFFFF,#00AFCC,#00AFCC,#3c4859,#3c4859,#FFFFFF,#de4f82,#e4bb61,#e4bb61,#FFFFFF,「行こう！」,FALSE,TRUE,Kyo Kaneko 金子 鏡 かねこ きょう,,ILUNA いるな イルナ,,
Maria Marionette,#E55A9B,#FFFFFF,#E55A9B,#9b79cc,#9b79cc,#714fa0,#FFFFFF,#b5244c,#9b79cc,#b5244c,#FFFFFF,「行こう！」,FALSE,FALSE,Maria Marionette マリア マリオネット まりあ まりおねっと まりりん マリリン,,ILUNA いるな イルナ,,
Aster Arcadia,#6662A4,#FFFFFF,#6662A4,#6662A4,#9491ea,#cc4bdf,#FFFFFF,#f9d07c,#f9d07c,#f5ca80,#FFFFFF,「行こう！」,FALSE,TRUE,Aster Arcadia アスター アルカディア あすたー あるかでぃあ,,ILUNA いるな イルナ,,
Aia Amare,#5B5A52,#5B5A52,#FFFEF7,#c1b79c,#847d74,#847d74,#605b55,#90595c,#65ccac,#65ccac,#FFFFFF,「行こう！」,FALSE,FALSE,Aia Amare アイア アマレ あいあ あまれ,,ILUNA いるな イルナ,,
Ren Zotto,#429B76,#FFFFFF,#429B76,#429B76,#3f5767,#3f5767,#FFFFFF,#4f3563,#805f8a,#805f8a,#FFFFFF,「行こう！」,FALSE,FALSE,Ren Zotto レン ゾット れん ぞっと,エイリアン,ILUNA いるな イルナ,,
Scarle Yonaguni,#E60012,#FFFFFF,#E60012,#E60012,#892331,#554a5b,#FFFFFF,#78718f,#78718f,#78718f,#FFFFFF,「行こう！」,FALSE,FALSE,Scarle Yonaguni スカーレ ヨナグニ すかーれ よなぐに,,ILUNA いるな イルナ,,
Doppio Dropscythe,#A50082,#FFFFFF,#A50082,#A50082,#826e95,#77005d,#FFFFFF,#f9ed87,#f9ed87,#8d7861,#FFFFFF,「行こう！」,FALSE,FALSE,Doppio Dropscythe ドッピオ ドロップサイト どっぴお どろっぷさいと,,XSOLEIL エクソレイ えくそれい,,
Hex Haywire,#007199,#FFFFFF,#007199,#007199,#27445a,#561e26,#FFFFFF,#27445a,#9cb3c2,#27445a,#FFFFFF,「行こう！」,FALSE,TRUE,Hex Haywire ヘックス ヘイワイヤー へっくす へいわいやー,,XSOLEIL エクソレイ えくそれい,,
Meloco Kyoran,#A09BD8,#FFFFFF,#A09BD8,#A09BD8,#e45d7b,#3d0ded,#FFFFFF,#383466,#e45d7b,#383466,#FFFFFF,「行こう！」,FALSE,FALSE,Meloco Kyoran 狂蘭 メロコ きょうらん めろこ,,XSOLEIL エクソレイ えくそれい,,
Ver Vermillion,#D5345E,#FFFFFF,#D5345E,#D5345E,#832945,#832945,#FFFFFF,#87787e,#87787e,#573e27,#FFFFFF,「行こう！」,FALSE,FALSE,Ver Vermillion ヴェール ヴァーミリオン ゔぇーる ゔぁーみりおん,,XSOLEIL エクソレイ えくそれい,,
Kotoka Torahime,#DC6B9A,#FFFFFF,#DC6B9A,#DC6B9A,#ffe7b9,#65699a,#FFFFFF,#f295a1,#ffe7b9,#74a5b8,#FFFFFF,「行こう！」,FALSE,TRUE,Kotoka Torahime 虎姫 コトカ とらひめ ことか,,XSOLEIL エクソレイ えくそれい,,
Yu Q. Wilson,#F5EB28,#ddb213,#F5EB28,#ddb213,#F7733a,#F7733a,#FFFFFF,#50bad5,#50bad5,#1c86ca,#FFFFFF,「行こう！」,FALSE,FALSE,Yu Q. Wilson ユウ Q ウィルソン ゆう きゅー うぃるそん,ヒーロー,Krisis クライシス くらいしす HEROES ひーろーず,,
Vantacrow Bringer,#8728E1,#FFFFFF,#8728E1,#8728E1,#b660fa,#3d4265,#FFFFFF,#e04091,#c6b65f,#c6b65f,#FFFFFF,「行こう！」,FALSE,FALSE,Vantacrow Bringer ベンタクロウ ブリンガー べんたくろう ぶりんがー ベンタ べんた,ヒーロー,Krisis クライシス くらいしす HEROES ひーろーず,,
Vezalius Bandage,#C34196,#FFFFFF,#C34196,#C34196,#5f2349,#5263dd,#FFFFFF,#edc73f,#edc73f,#5f2349,#FFFFFF,「行こう！」,FALSE,FALSE,Vezalius Bandage ヴェザリウス バンデージ ゔぇざりうす ばんでーじ ザリ ざり,ヒーロー,Krisis クライシス くらいしす HEROES ひーろーず,,
Claude Clawmark,#7D3CAF,#FFFFFF,#7D3CAF,#7D3CAF,#e243ef,#e243ef,#FFFFFF,#24828b,#f3fbcb,#24828b,#FFFFFF,「行こう！」,FALSE,FALSE,Claude Clawmark クロード クローマーク くろーど くろーまーく,,TTT トリプルティー とりぷるてぃー,,
Victoria Brightshield,#D7D2EB,#FFFFFF,#D7D2EB,#8e8aa0,#525af0,#525af0,#FFFFFF,#785384,#785384,#785384,#FFFFFF,「行こう！」,FALSE,TRUE,Victoria Brightshield ヴィクトリア ブライトシールド ゔぃくとりあ ぶらいとしーるど,,TTT トリプルティー とりぷるてぃー,,
Kunai Nakasato,#3C6E64,#FFFFFF,#3C6E64,#3C6E64,#524c48,#b7800d,#FFFFFF,#d1c6c3,#d1c6c3,#524c48,#FFFFFF,「行こう！」,FALSE,TRUE,Kunai Nakasato 中里 苦無 なかさと くない,,TTT トリプルティー とりぷるてぃー,,
Ryoma Barrenwort,#952D22,#FFFFFF,#952D22,#952D22,#eba665,#eba665,#FFFFFF,#938c8a,#938c8a,#4f4b4a,#FFFFFF,「行こう！」,FALSE,FALSE,Ryoma Barrenwort 凉舞 バレンウォート りょうま ばれんうぉーと,,Denauth ディノース でぃのーす,,
Klara Charmwood,#DFCDBF,#FFFFFF,#DFCDBF,#b2a296,#cb9271,#cb9271,#FFFFFF,#a99571,#a99571,#464d66,#FFFFFF,「行こう！」,FALSE,FALSE,Klara Charmwood クララ チャームウッド くらら ちゃーむうっど,メイド,Denauth ディノース でぃのーす,,
Zeal Ginjoka,#007328,#FFFFFF,#007328,#1b5930,#454547,#454547,#FFFFFF,#9a5cbd,#9a5cbd,#9a5cbd,#FFFFFF,「行こう！」,FALSE,FALSE,Zeal Ginjoka ジール ギンジョウカ じーる ぎんじょうか,,BY THE BEAT バイザビート ばいざびーと BTB,,
Freodore,#AA0037,#FFFFFF,#AA0037,#AA0037,#fd6777,#7a0026,#FFFFFF,#58767a,#58767a,#58767a,#FFFFFF,「行こう！」,FALSE,FALSE,Freodore ふりおどーる フリオドール,,BY THE BEAT バイザビート ばいざびーと BTB,,
Seible,#0A44AA,#FFFFFF,#0A44AA,#0A44AA,#749ce4,#2276f2,#FFFFFF,#f8c9ff,#f8c9ff,#f8c9ff,#FFFFFF,「行こう！」,FALSE,FALSE,Seible セイブル せいぶる,,BY THE BEAT バイザビート ばいざびーと BTB,,
Kaelix Debonair,#CDCD00,#FFFFFF,#CDCD00,#C4a21a,#79a4f0,#79a4f0,#FFFFFF,#c2acec,#79a4f0,#c2acec,#FFFFFF,「行こう！」,FALSE,FALSE,Kaelix Debonair ケイリクス デネボア けいりくす でねぼあ,,BY THE BEAT バイザビート ばいざびーと BTB,,
