曲名,再生数,MV再生,サブスク再生,MVリンク,サムネ用リンク,プレイリスト用サムネ,公開日,歌唱,作詞,作曲,編曲,ユニット,MV公開,本人の作詞/作曲,有観客ライブ披露済み,オンラインライブ等で披露済,メモ1,3D映像公開,3Dリンク,3Dリンク2,3Dリンク3,メモ2,独特なコーレス,BPM,Shortsリンク,サブスクリンク,その他リンク,その他2,説明,メモ3,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・ハッピー,可愛い・ポップな,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用
【Cover】告白ライバル宣言（ピアノアレンジ）,137,,,https://youtu.be/OcPmXr-Eg5s?si=2QUfzf1esuXupJ7B,https://youtu.be/OcPmXr-Eg5s?si=2QUfzf1esuXupJ7B,,2021/01/13,甲斐田晴（演奏：宇都圭輝）,HoneyWorks,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,15,,,,,10,25,5,,,,,,15,,10,,6,1,25,13.33333333,80
【Cover】KING,178,,,https://youtu.be/j_aYrH5Vb3A?si=aJl6CZk_d6tSyMfO,https://youtu.be/j_aYrH5Vb3A?si=aJl6CZk_d6tSyMfO,,2021/01/20,甲斐田晴,Kanaria,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,5,10,,,,,15,10,10,30,,,,,,6,1,30,13.33333333,80
【Cover】ニア,1462,,,https://youtu.be/181oJs-iaDE?si=xQEwiVPV1CKBRFZ9,https://youtu.be/181oJs-iaDE?si=xQEwiVPV1CKBRFZ9,,2021/02/07,甲斐田晴,夏代孝明,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,5,,,,5,,5,10,,,,,5,20,10,20,,8,0,20,10,80
【Cover】Ghost of a smile,227,,,https://youtu.be/kHfPwkinu_4?si=hNCJLdH8bEoLajp9,https://youtu.be/kHfPwkinu_4?si=hNCJLdH8bEoLajp9,,2021/03/12,甲斐田晴,EGOIST,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,8,,,,,,,15,,,,15,,20,5,17,,6,0,20,13.33333333,80
【Cover】エンヴィキャットウォーク,278,,,https://youtu.be/6hL-Z3KMRgY?si=U9K1Oj3NktxtILVI,https://youtu.be/6hL-Z3KMRgY?si=U9K1Oj3NktxtILVI,,2021/04/02,甲斐田晴,トーマ,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,10,,,,2.5,,,,,27.5,20,20,,,,,,,5,1,27.5,16,80
【Cover】夜に駆ける（検証企画）,460,,,https://youtu.be/aFL4HB4Oqi8?si=lsQSC87AgWxgMbn5,https://youtu.be/aFL4HB4Oqi8?si=lsQSC87AgWxgMbn5,,2021/05/12,町田ちま、三枝明那、フミ、グウェル・オス・ガール、甲斐田晴,YOASOBI,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,10,,,20,10,,15,,20,5,6,0,20,13.33333333,80
【Cover】ヴァンパイア,331,,,https://youtu.be/NtlIdOn_r0c?si=WYLK5pNNCgJJC9gp,https://youtu.be/NtlIdOn_r0c?si=WYLK5pNNCgJJC9gp,,2021/05/15,甲斐田晴,DECO*27,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】砂の惑星,185,,,https://youtu.be/qYWqxTHv3hI?si=PdrZxV9__lOw9ySi,https://youtu.be/qYWqxTHv3hI?si=PdrZxV9__lOw9ySi,,2021/05/23,甲斐田晴,ハチ,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】プラネタリウムの真実,114,,,https://youtu.be/-bZk9wmpgnI?si=gkyc1G9UAa-g0gaP,https://youtu.be/-bZk9wmpgnI?si=gkyc1G9UAa-g0gaP,,2021/06/06,甲斐田晴,夏代孝明,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
【Cover】チューリングラブ,373,,,https://youtu.be/U6ksBJXZY74?si=-jjxLvdVtPWs726m,https://youtu.be/U6ksBJXZY74?si=-jjxLvdVtPWs726m,,2021/06/16,甲斐田晴、弦月藤士郎,ナナヲアカリ,-,-,歌ってみた,FALSE,FALSE,TRUE,,一唱入魂,FALSE,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0
