曲名,再生数,MV再生,サブスク再生,サブスク再生,MVリンク,サムネ用リンク,公開日,歌唱,作詞,作曲,編曲,ユニット,MV公開,本人の作詞/作曲,有観客ライブ披露済み,オンラインライブ等で披露済,メモ1,3D映像公開,3Dリンク,3Dリンク2,3Dリンク3,メモ2,独特なコーレス,Shortsリンク,サブスクリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・ハッピー,可愛い・ポップな,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
声の旅,51,36,15,,https://youtu.be/ES-AjY0a8UY?si=UbE2zJQZmXrkeu15,https://youtu.be/ES-AjY0a8UY?si=UbE2zJQZmXrkeu15,2025/06/13,甲斐田晴,堀江晶太,堀江晶太,堀江晶太,個人(ソロ),TRUE,FALSE,FALSE,,,TRUE,,https://youtu.be/tG6h83PreFk?si=_V1Ubzvet_x6nVzG&t=1007,,MAGIC3D,FALSE,,https://linkco.re/CS6MN2F7,,,,,,174,,,,20,,,,10,5,,,,,40,,15,10,,6,1,40,16.66666667,100,
247LOVE,18,18,,,,https://youtu.be/31aG87oU98g?si=kDhvdYPzc_DckkpN,2025/06/13,甲斐田晴,Nor,Nor,Nor,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,https://linkco.re/CS6MN2F7,,,,,,174,,,,,,20,60,20,,,,,,,,,,,3,1,60,33.33333333,100,
ブルーミソロジー,19,19,,,,https://youtu.be/luOuECtt1Z0?si=K4Qzx4aXmmqwtDXc,2025/06/13,甲斐田晴,Ｈ△Ｇ（ハグ）,Ｈ△Ｇ（ハグ）,Ryo'LEFTY'Miyata,個人(ソロ),FALSE,FALSE,FALSE,,,TRUE,,https://youtu.be/tG6h83PreFk?si=jUDRlIHGn2ndZ55E&t=197,,MAGIC3D,FALSE,,https://linkco.re/CS6MN2F7,,,,,,194,20,,,30,,,,25,,,20,,,,2.5,,2.5,,6,2,30,16.66666667,100,
トマトは愛を解さない,20,20,,,,https://youtu.be/4k4qwBE0k1k?si=6lP2rCyfdmqKKx5I,2025/06/13,甲斐田晴,タカハシヨウ（家の裏でマンボウが死んでるP）,タカハシヨウ（家の裏でマンボウが死んでるP）,堀江晶太,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,https://linkco.re/CS6MN2F7,,,,,,200,20,,,5,20,,,,,,,,25,,,,,30,5,2,30,20,100,
【Cover】ずうっといっしょ！,125,125,,,https://youtube.com/shorts/wYQZcnmGsLc?si=-Ss-IH3AyWveXklx,https://youtube.com/shorts/wYQZcnmGsLc?si=-Ss-IH3AyWveXklx,2025/06/14,甲斐田晴,キタニタツヤ,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,135,,,,,10,,,,,25,10,,25,,,,5,5,6,2,25,13.33333333,80,
【Cover】オーバーライド,46,46,,,https://youtu.be/jZMD3DVzsRE?si=XzYYf9tvRbCTrPHI,https://youtu.be/jZMD3DVzsRE?si=XzYYf9tvRbCTrPHI,2025/06/28,甲斐田晴,吉田夜世,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,204,20,,10,,,,25,,,,,,10,,5,,,10,6,1,25,13.33333333,80,
【Cover】いらないもの,45,45,,,https://youtu.be/KPVaIhT28PU?si=-CxdY_1odZ0KUdkP,https://youtu.be/KPVaIhT28PU?si=-CxdY_1odZ0KUdkP,2025/07/27,甲斐田晴,キタニタツヤ×なとり,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,176,,,,10,,,,10,15,5,20,5,7.5,,7.5,,,,8,0,20,10,80,
【Cover】睡蓮花,105,105,,,https://youtube.com/shorts/p5WCkpX_Ls0?si=2hzKyciEHla_ODPq,https://youtube.com/shorts/p5WCkpX_Ls0?si=2hzKyciEHla_ODPq,2025/08/10,VΔLZ,湘南乃風,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,156,,,20,13,,20,,15,,,,,,,,,,12,5,0,20,16,80,
【Cover】ビターバカンス,28,28,,,https://youtube.com/shorts/lj5eVA3WVw0?si=4f-W-0aEZDnx3sqM,https://youtube.com/shorts/lj5eVA3WVw0?si=4f-W-0aEZDnx3sqM,2025/08/12,VΔLZ,Mrs. GREEN APPLE,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,132,,,10,,,25,,25,,,5,,,,,15,,,5,2,25,16,80,
【Cover】シャカビーチ ～Laka Laka La～,25,25,,,https://youtube.com/shorts/4aE-LuNq1w8?si=DIGFCy07fR2Xjr_a,https://youtube.com/shorts/4aE-LuNq1w8?si=DIGFCy07fR2Xjr_a,2025/08/13,VΔLZ（甲斐田晴）,UVERworld,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,200,10,,10,10,,,,15,,5,25,5,,,,,,,7,1,25,11.42857143,80,
【Cover】ココロオドル,107,107,,,https://youtube.com/shorts/6Mg9KPS7wqo?si=SJIaQjGR7Ttw9SWv,https://youtube.com/shorts/6Mg9KPS7wqo?si=SJIaQjGR7Ttw9SWv,2025/08/14,VΔLZ,nobodyknows+,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,113,,,30,25,,15,,,,,10,,,,,,,,4,2,30,20,80,
【Cover】サマータイムレコード,24,24,,,https://youtube.com/shorts/XwLJa6t3fZI?si=9ePmTAB4OhiYZ8zO,https://youtube.com/shorts/XwLJa6t3fZI?si=9ePmTAB4OhiYZ8zO,2025/08/16,VΔLZ,じん,-,-,歌ってみたShorts,FALSE,FALSE,TRUE,,一唱入魂,FALSE,,,,,FALSE,,,,,,,,185,,,,,,,,27.5,,,10,,,,27.5,,15,,4,2,27.5,20,80,
Winning Game,12,12,,,https://youtu.be/bt7yUVrWtEE?si=aMExNc3uoPrI9Pb0,https://youtu.be/bt7yUVrWtEE?si=aMExNc3uoPrI9Pb0,2025/08/17,甲斐田晴,甲斐田晴,甲斐田晴,弦月藤士郎、ナツメ ユウキ,個人(ソロ),TRUE,TRUE,FALSE,FALSE,,FALSE,,,,,FALSE,,,,,,,,180,,,5,22.5,,12.5,,30,,,,,,,,,20,,5,1,30,18,90,
【Cover】虹色のPuddle,198,198,,,https://youtu.be/DvDVY7nXVco?si=e9ROPfh8QzZXUdv4,https://youtu.be/DvDVY7nXVco?si=e9ROPfh8QzZXUdv4,2025/08/24,ジョー・力一、甲斐田晴、弦月藤士郎、長尾景、セラフ・ダズルガーデン、風楽奏斗、宇佐美リト、緋八マナ、伊波ライ、ミラン・ケストレル、北見遊征、榊ネス、酒寄颯馬、渚トラウト,にじさんじ,-,-,歌ってみた,FALSE,FALSE,FALSE,,一唱入魂、三華大阪,FALSE,,,,,FALSE,,,,,,,,136,,,7,5,0.5,27.5,7.5,25,,,,,,,,,7.5,,7,2,27.5,11.42857143,80,
モンゴルのうた,0,,,,,https://youtu.be/iT3sFI7gib4?si=RACSfh_yuTByALC_&t=1890,2025/08/28,ROF-MAO,甲斐田晴,甲斐田晴,-,ROF-MAO,FALSE,TRUE,FALSE,FALSE,,FALSE,,,,,FALSE,,,https://youtu.be/iT3sFI7gib4?si=RACSfh_yuTByALC_&t=1890,https://youtu.be/mIHW9YO1eWY?t=4792&si=hf1vq2A8HGa95LJF,,,,203,,,,,,12.5,,12.5,,,,,,,,7.5,7.5,20,5,0,20,12,60,
【Cover】secret base ～君がくれたもの～,28,28,,,https://youtube.com/shorts/SJL7vV8ZaIk?si=-ayZS7wFPAhGPDLe,https://youtube.com/shorts/SJL7vV8ZaIk?si=-ayZS7wFPAhGPDLe,2025/08/29,VΔLZ,ZONE,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,144,,20,,,,,,15,5,,,,,,25,5,10,,6,1,25,13.33333333,80,
【Cover】Fire◎Flower,79,79,,,https://youtu.be/TzJ2_1yqtME?si=rHxQNDW4ySnLyQ7R,https://youtu.be/TzJ2_1yqtME?si=rHxQNDW4ySnLyQ7R,2025/08/30,樋口楓、竜胆尊、レヴィ・エリファ、シェリン・バーガンディ、甲斐田晴、伊波ライ,halyosy,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,175,,5,5,10,,,,15,,,,5,,,15,5,20,,8,0,20,10,80,
Arc goes oN Live ver 「Singin' in the Rainbow！at KOBE」,16,16,,,,https://youtu.be/AQSF094jqOA?si=aVG-Ec3ujLlPmQbL,2025/08/30,樋口楓、竜胆尊、レヴィ・エリファ、シェリン・バーガンディ、甲斐田晴、伊波ライ,烏屋茶房,篠崎あやと,篠崎あやと,全体曲,FALSE,FALSE,TRUE,,,FALSE,,,,,FALSE,,https://nex-tone.link/A00201582,,,,「にじさんじ7周年」をテーマとした、盛り上がりやエモさを感じられる楽曲のライブ音源。,えにまが,95,5,,30,,,25,,,,,,,,10,,,30,,5,3,30,20,100,
おったまげったん,352,323,29,,https://youtu.be/z_PYVPUsDyc?si=wkcEj5VObhMSL4rx,https://youtu.be/z_PYVPUsDyc?si=wkcEj5VObhMSL4rx,2025/10/01,ROF-MAO,山崎真吾 (SUPA LOVE),山崎真吾 (SUPA LOVE),山崎真吾 (SUPA LOVE),ROF-MAO,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,https://rof-mao.lnk.to/ottamaID,,,,,,184,,,,,,35,40,10,,,,,,,,,,15,4,2,40,25,100,
【Cover】おもかげ,69,69,,,https://youtu.be/MgIhrwc-g10?si=y_btSFfO_K7XveHD,https://youtu.be/MgIhrwc-g10?si=y_btSFfO_K7XveHD,2025/10/11,VΔLZ,milet×Aimer×幾田りら,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,https://youtube.com/shorts/DGu3zwp1k2A?si=jbcnWge36fCMKeUt,,,,,,,104,,15,,,,15,,15,5,,,,,,,15,15,,6,0,15,13.33333333,80,
ドリーマーズハイ,280,225,55,,https://youtu.be/TD29NOMz3hA?si=rbJwkl0HZ4fApBlw,https://youtu.be/TD29NOMz3hA?si=rbJwkl0HZ4fApBlw,2025/10/23,ROF-MAO,Hayato Yamamoto、 Tomoki Tamatani,Hayato Yamamoto、 pw.a、 Tomoki Tamatani,pw.a、 Hayato Yamamoto,ROF-MAO,TRUE,FALSE,FALSE,FALSE,,FALSE,,,,,FALSE,,https://rof-mao.lnk.to/dreamershighID,,,,,,134,,,10,,,30,10,30,,,15,,,,,,,5,6,2,30,16.66666667,100,
【Cover】睨めっ娘,34,34,,,https://youtu.be/7hXHVsLtTFs?si=lbL1R2tcoD4klvQI,https://youtu.be/7hXHVsLtTFs?si=lbL1R2tcoD4klvQI,2025/11/18,甲斐田晴,友成空,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,165,,,,,,,10,,15,22.5,,22.5,10,,,,,,5,0,22.5,16,80,
【Cover】イージーゲーム,41,41,,,https://youtu.be/XjWuUcj3etY?si=I4t_TTde9Q35NQWH,https://youtu.be/XjWuUcj3etY?si=I4t_TTde9Q35NQWH,2025/12/07,本間ひまわり、甲斐田晴,natsumi feat. 和ぬか,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,166,,5,,,,5,20,7.5,17.5,,,5,,,,10,10,,8,0,20,10,80,
【Cover】勇者,51,51,,,https://youtu.be/B6vGn-riWJ4?si=NQb7yEY_ikJV5HBi,https://youtu.be/B6vGn-riWJ4?si=NQb7yEY_ikJV5HBi,2026/01/24,甲斐田晴、海妹四葉,YOASOBI,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,104,,10,,,,,,,12.5,,,,,20,15,12.5,10,,6,0,20,13.33333333,80,
【Cover】シャンティ,78,78,,,https://youtu.be/5jI9ntBvtcg?si=YGjz4YncL2SgZqsY,https://youtu.be/5jI9ntBvtcg?si=YGjz4YncL2SgZqsY,2026/02/09,甲斐田晴,wotaku,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,144,,,,,10,,,,,25,5,10,25,,,,,5,6,2,25,13.33333333,80,
【Cover】シルエット,72,72,,,https://youtu.be/80rNyHfHa5E?si=7GQGQMfgovYtiZMl,https://youtu.be/80rNyHfHa5E?si=7GQGQMfgovYtiZMl,2026/02/21,VΔLZ,KANA-BOON,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,https://youtube.com/shorts/VJSd_dogRrY?si=NgC2mQoath7de0wc,,,,,,,183,7.5,,,10,,,,17.5,,,17.5,,7.5,,7.5,12.5,,,7,0,17.5,11.42857143,80,
【Cover】オトノケ,36,36,,,https://youtu.be/SQSdux85Kr4?si=ywQ23N5TbqlcbZqH,https://youtu.be/SQSdux85Kr4?si=ywQ23N5TbqlcbZqH,2026/03/02,甲斐田晴,Creepy Nuts,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,170,10,,10,,10,,,,,7.5,12.5,12.5,12.5,,,,,5,8,0,12.5,10,80,
【Cover】テレパシ,39,39,,,https://youtube.com/shorts/xDvCBSjmAMI?si=gHAsrdwOLPzMMFpr,https://youtube.com/shorts/xDvCBSjmAMI?si=gHAsrdwOLPzMMFpr,2026/03/03,甲斐田晴,DECO*27,-,-,歌ってみたShorts,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,205,20,,5,,,20,30,,,,,,,,,,,5,5,1,30,16,80,
CRACKS,0,,,,,https://youtu.be/fsKM1jS2O0Q?si=8J9kBNnCmUnksx1N,2026/04/15,甲斐田晴,じん,じん,じん、すくろーす,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,「天気雨」をモチーフにした楽曲。,,189,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
STORM,0,,,,,https://youtu.be/fsKM1jS2O0Q?si=8J9kBNnCmUnksx1N,2026/04/15,甲斐田晴,田邊駿一,田邊駿一,鶴﨑輝一,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,190,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
アイスブレイクブレイカー,0,,,,,https://youtu.be/fsKM1jS2O0Q?si=8J9kBNnCmUnksx1N,2026/04/15,甲斐田晴,安部大希-amazuti-,安部大希-amazuti- / 宮崎諒-amazuti-,宮崎諒-amazuti-,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,「雹」をモチーフにした楽曲。,,180,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
Rainy Days,0,,,,,https://youtu.be/fsKM1jS2O0Q?si=8J9kBNnCmUnksx1N,2026/04/15,甲斐田晴,OSTER project,OSTER project,OSTER project,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,「雨」をモチーフにした楽曲。,,240,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
雪の降る日に,0,,,,,https://youtu.be/fsKM1jS2O0Q?si=8J9kBNnCmUnksx1N,2026/04/15,甲斐田晴,PON（ラックライフ）,PON（ラックライフ）,河合英嗣,個人(ソロ),FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,「雪」をモチーフにした楽曲。,,80,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
晴れと褻,17,9,7.5,,https://youtu.be/CQJDyd1GfCM?si=osPlAOZogB4V2yic,https://youtu.be/CQJDyd1GfCM?si=osPlAOZogB4V2yic,2026/03/27,甲斐田晴,sabio/高村風太,sabio/高村風太,sabio/高村風太,個人(ソロ),TRUE,FALSE,FALSE,,,FALSE,,,,,FALSE,,https://accelnotes.lnk.to/kaidaharu_haretoke,,,,「快晴」をモチーフにした楽曲。,,182,,,,,,20,5,20,10,,,,,7.5,,17.5,20,,7,0,20,14.28571429,100,
【Cover】シャンティ,46,46,,,https://youtu.be/oXPDm9r51io?si=jNut5GOtdcNSTTvU,https://youtu.be/oXPDm9r51io?si=jNut5GOtdcNSTTvU,2026/03/20,甲斐田晴,wotaku,-,-,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,144,,,,,20,,,,,20,5,10,20,,,,,5,6,0,20,13.33333333,80,
むてきのおうさま,4,3.7,,,https://youtu.be/_XI9MzrcHC4?si=agp7978AKLVS4LJi,https://youtu.be/_XI9MzrcHC4?si=agp7978AKLVS4LJi,2026/04/02,VΔLZ,甲斐田晴,弦月藤士郎,EFFY,VΔLZ,TRUE,TRUE,FALSE,,,FALSE,,,,,FALSE,,https://accelnotes.lnk.to/valz_mutekinoosama,https://youtube.com/shorts/zSh4oaAoUQk?si=7HxJYMNlT9NYBmbj,,,,元気 明るい,122,,,,,,37.5,25,5,,,,17.5,,5,,,10,,6,2,37.5,16.66666667,100,
【Cover】新宝島,5,4.8,,,https://youtu.be/sUDM_h9yrOY?si=9ac5FBEfy9Bt7D2j,https://youtu.be/sUDM_h9yrOY?si=9ac5FBEfy9Bt7D2j,2026/04/02,VΔLZ,サカナクション,,,歌ってみた,FALSE,FALSE,FALSE,,,FALSE,,,,,FALSE,,,,,,,,158,,,17.5,,,22.5,,12.5,7.5,,7.5,,,,,5,7.5,,7,0,22.5,11.42857143,80,
【Cover】,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
【Cover】,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
【Cover】,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
【Cover】,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
【Cover】,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
【Cover】,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,45,53,70,64,19,90,58,112,59,39,86,67,47,36,46,65,100,50,,,,,5,-5
